Ligand,Binding Affinity,rmsd/ub, rmsd/lb
4NN5_DB00532_uff_E=243.18,-5.4,8.509,7.128
4NN5_DB00532_uff_E=252.36,-5.4,3.761,1.784
4NN5_DB00664_uff_E=497.72,-5.4,3.737,2.597
4NN5_DB00744_uff_E=319.84,-5.4,10.719,9.218
4NN5_DB00744_uff_E=356.30,-5.4,5.904,3.659
4NN5_DB00756_uff_E=134.77,-5.4,4.898,2.467
4NN5_DB00756_uff_E=134.77,-5.4,3.229,1.927
4NN5_DB00870_uff_E=314.17,-5.4,6.584,4.896
4NN5_DB00870_uff_E=319.55,-5.4,7.201,6.011
4NN5_DB00870_uff_E=319.55,-5.4,5.67,4.262
4NN5_DB00914_uff_E=94.87,-5.4,11.519,10.436
4NN5_DB00914_uff_E=94.87,-5.4,11.147,9.9
4NN5_DB00926_uff_E=166.27,-5.4,10.197,8.314
4NN5_DB00926_uff_E=166.27,-5.4,10.587,3.161
4NN5_DB00926_uff_E=268.29,-5.4,2.104,0.722
4NN5_DB01079_uff_E=317.22,-5.4,8.388,6.75
4NN5_DB01079_uff_E=317.22,-5.4,5.561,3.985
4NN5_DB01178_uff_E=523.08,-5.4,4.54,2.92
4NN5_DB01186_uff_E=425.17,-5.4,6.223,3.51
4NN5_DB01230_uff_E=209.29,-5.4,2.891,1.77
4NN5_DB01239_uff_E=238.52,-5.4,8.663,6.555
4NN5_DB01239_uff_E=246.31,-5.4,4.641,2.715
4NN5_DB01244_uff_E=225.83,-5.4,4.439,1.4
4NN5_DB01244_uff_E=257.56,-5.4,2.702,1.68
4NN5_DB01244_uff_E=257.56,-5.4,8.371,4.697
4NN5_DB01463_uff_E=1705.79,-5.4,5.049,1.684
4NN5_DB04813_uff_E=143.25,-5.4,6.097,2.331
4NN5_DB04814_uff_E=254.66,-5.4,5.517,4.56
4NN5_DB04820_uff_E=148.92,-5.4,5.217,2.355
4NN5_DB04820_uff_E=148.92,-5.4,2.92,1.952
4NN5_DB04820_uff_E=148.92,-5.4,4.508,2.511
4NN5_DB04820_uff_E=148.92,-5.4,3.039,2.247
4NN5_DB04821_uff_E=178.45,-5.4,8.315,5.858
4NN5_DB04821_uff_E=178.45,-5.4,5.27,3.159
4NN5_DB04821_uff_E=184.69,-5.4,13.316,11.007
4NN5_DB04821_uff_E=184.69,-5.4,6.489,4.391
4NN5_DB04821_uff_E=184.69,-5.4,10.891,8.728
4NN5_DB04822_uff_E=191.26,-5.4,0,0
4NN5_DB04825_uff_E=177.68,-5.4,3.525,0.907
4NN5_DB04825_uff_E=177.68,-5.4,5.075,2.29
4NN5_DB04825_uff_E=177.68,-5.4,5.177,1.522
4NN5_DB04831_uff_E=331.34,-5.4,2.428,2.227
4NN5_DB04831_uff_E=331.34,-5.4,7.065,3.031
4NN5_DB04831_uff_E=331.34,-5.4,4.452,3.659
4NN5_DB04832_uff_E=186.71,-5.4,11.137,8.115
4NN5_DB04832_uff_E=186.71,-5.4,11.331,8.614
4NN5_DB04836_uff_E=189.59,-5.4,7.002,4.483
4NN5_DB04836_uff_E=189.59,-5.4,6.21,3.387
4NN5_DB04837_uff_E=177.69,-5.4,1.671,0.994
4NN5_DB04837_uff_E=177.69,-5.4,2.672,1.976
4NN5_DB04837_uff_E=177.69,-5.4,9.403,7.27
4NN5_DB07931_uff_E=137.35,-5.4,5.374,1.299
4NN5_DB07931_uff_E=137.35,-5.4,2.774,1.584
4NN5_DB07931_uff_E=137.35,-5.4,5.825,1.452
4NN5_DB08941_uff_E=150.13,-5.4,4.313,1.982
4NN5_DB08941_uff_E=153.76,-5.4,5.047,2.832
4NN5_DB08941_uff_E=153.76,-5.4,4.584,1.831
4NN5_DB08941_uff_E=153.76,-5.4,5.012,2.283
4NN5_DB08941_uff_E=153.76,-5.4,2.582,1.695
4NN5_DB08941_uff_E=153.76,-5.4,3.988,1.439
4NN5_DB08944_uff_E=166.87,-5.4,0,0
4NN5_DB08944_uff_E=210.38,-5.4,2.654,2.024
4NN5_DB08953_uff_E=365.99,-5.4,1.607,1.146
4NN5_DB08955_uff_E=78.87,-5.4,11.296,9.479
4NN5_DB08955_uff_E=78.87,-5.4,4.757,3.575
4NN5_DB08955_uff_E=87.04,-5.4,6.926,5.025
4NN5_DB08957_uff_E=155.51,-5.4,4.949,2.56
4NN5_DB08964_uff_E=210.19,-5.4,6.117,2.656
4NN5_DB08964_uff_E=210.19,-5.4,5.167,2.593
4NN5_DB08988_uff_E=194.02,-5.4,9.735,8.524
4NN5_DB08988_uff_E=194.02,-5.4,9.245,6.301
4NN5_DB08988_uff_E=194.02,-5.4,9.936,6.217
4NN5_DB08988_uff_E=217.87,-5.4,3.52,1.77
4NN5_DB08990_uff_E=251.34,-5.4,3.871,2.009
4NN5_DB08990_uff_E=286.26,-5.4,6.164,2.031
4NN5_DB08990_uff_E=286.26,-5.4,5.061,1.841
4NN5_DB09007_uff_E=209.05,-5.4,5.381,3.124
4NN5_DB09010_uff_E=109.21,-5.4,0,0
4NN5_DB09012_uff_E=222.64,-5.4,7.867,5.66
4NN5_DB09012_uff_E=222.64,-5.4,5.006,4.111
4NN5_DB09012_uff_E=222.64,-5.4,3.489,2.4
4NN5_DB09022_uff_E=158.95,-5.4,0,0
4NN5_DB09022_uff_E=179.07,-5.4,4.32,2.152
4NN5_DB09023_uff_E=182.60,-5.4,8.854,6.246
4NN5_DB09023_uff_E=182.60,-5.4,2.456,1.442
4NN5_DB09092_uff_E=380.23,-5.4,5.627,2.147
4NN5_DB09225_uff_E=294.53,-5.4,8.413,7.35
4NN5_DB09252_uff_E=72.21,-5.4,0,0
4NN5_DB09253_uff_E=224.06,-5.4,8.601,7.651
4NN5_DB09254_uff_E=101.26,-5.4,3.061,1.946
4NN5_DB00150_uff_E=295.04,-5.3,1.552,1.433
4NN5_DB00311_uff_E=710.54,-5.3,2.173,1.592
4NN5_DB00382_uff_E=137.40,-5.3,9.823,9.325
4NN5_DB00382_uff_E=137.40,-5.3,3.363,2.061
4NN5_DB00382_uff_E=137.40,-5.3,4.608,1.898
4NN5_DB00409_uff_E=317.36,-5.3,6.559,3.336
4NN5_DB00409_uff_E=317.36,-5.3,3.419,1.906
4NN5_DB00473_uff_E=134.42,-5.3,4.75,2.511
4NN5_DB00532_uff_E=243.18,-5.3,10.17,8.504
4NN5_DB00532_uff_E=243.18,-5.3,8.942,7.764
4NN5_DB00664_uff_E=497.72,-5.3,6.247,2.686
4NN5_DB00744_uff_E=319.84,-5.3,6.176,4.079
4NN5_DB00744_uff_E=319.84,-5.3,6.256,4.119
4NN5_DB00744_uff_E=319.84,-5.3,4.464,3.091
4NN5_DB00744_uff_E=356.30,-5.3,5.789,3.87
4NN5_DB00744_uff_E=356.30,-5.3,2.76,1.756
4NN5_DB00744_uff_E=356.30,-5.3,4.491,3.679
4NN5_DB00767_uff_E=230.92,-5.3,10.017,7.962
4NN5_DB00848_uff_E=254.73,-5.3,0,0
4NN5_DB00870_uff_E=319.55,-5.3,8.713,6.88
4NN5_DB00914_uff_E=94.87,-5.3,6.605,4.826
4NN5_DB00914_uff_E=94.87,-5.3,5.587,4.768
4NN5_DB00914_uff_E=94.87,-5.3,11.457,9.783
4NN5_DB00926_uff_E=268.29,-5.3,3.335,1.9
4NN5_DB01105_uff_E=471.07,-5.3,2.62,0.934
4NN5_DB01178_uff_E=523.03,-5.3,4.97,3.138
4NN5_DB01178_uff_E=523.08,-5.3,4.252,3.101
4NN5_DB01230_uff_E=207.95,-5.3,0,0
4NN5_DB01230_uff_E=207.95,-5.3,2.434,1.691
4NN5_DB01244_uff_E=225.83,-5.3,5.828,1.34
4NN5_DB01424_uff_E=378.50,-5.3,0,0
4NN5_DB01463_uff_E=1705.79,-5.3,2.88,1.825
4NN5_DB04813_uff_E=143.25,-5.3,5.725,1.722
4NN5_DB04813_uff_E=143.25,-5.3,5.234,2.687
4NN5_DB04814_uff_E=254.66,-5.3,4.059,3.404
4NN5_DB04814_uff_E=254.66,-5.3,6.831,4.599
4NN5_DB04815_uff_E=96.47,-5.3,0,0
4NN5_DB04821_uff_E=178.45,-5.3,6.55,3.712
4NN5_DB04821_uff_E=178.45,-5.3,3.414,1.702
4NN5_DB04821_uff_E=178.45,-5.3,4.873,1.917
4NN5_DB04821_uff_E=184.69,-5.3,7.681,6.461
4NN5_DB04822_uff_E=191.26,-5.3,4.207,2.987
4NN5_DB04822_uff_E=191.26,-5.3,8.772,5.623
4NN5_DB04825_uff_E=177.68,-5.3,6.04,2.548
4NN5_DB04825_uff_E=177.68,-5.3,4.936,1.873
4NN5_DB04825_uff_E=177.68,-5.3,4.769,1.685
4NN5_DB04825_uff_E=177.68,-5.3,5.175,1.926
4NN5_DB04825_uff_E=182.59,-5.3,5.287,2.348
4NN5_DB04825_uff_E=182.59,-5.3,3.922,1.984
4NN5_DB04825_uff_E=182.59,-5.3,4.975,2.939
4NN5_DB04825_uff_E=182.59,-5.3,3.766,1.986
4NN5_DB04826_uff_E=503.33,-5.3,10.797,7.942
4NN5_DB04826_uff_E=503.33,-5.3,9.083,7.142
4NN5_DB04832_uff_E=186.71,-5.3,12.245,8.804
4NN5_DB04832_uff_E=187.44,-5.3,11.741,8.123
4NN5_DB06793_uff_E=287.52,-5.3,5.157,2.604
4NN5_DB06793_uff_E=287.52,-5.3,4.271,1.862
4NN5_DB06793_uff_E=287.52,-5.3,4.918,2.129
4NN5_DB07931_uff_E=137.35,-5.3,6.974,5.204
4NN5_DB07931_uff_E=137.35,-5.3,4.281,3.13
4NN5_DB08941_uff_E=148.04,-5.3,4.583,2.282
4NN5_DB08941_uff_E=148.04,-5.3,5.719,2.076
4NN5_DB08941_uff_E=148.04,-5.3,4.654,1.88
4NN5_DB08941_uff_E=148.04,-5.3,4.718,2.376
4NN5_DB08941_uff_E=148.04,-5.3,4.902,2.388
4NN5_DB08941_uff_E=148.04,-5.3,2.994,1.915
4NN5_DB08941_uff_E=155.59,-5.3,0,0
4NN5_DB08941_uff_E=155.59,-5.3,3.928,2.138
4NN5_DB08941_uff_E=176.44,-5.3,4.033,1.75
4NN5_DB08941_uff_E=176.44,-5.3,4.434,1.825
4NN5_DB08941_uff_E=176.44,-5.3,5.962,2.025
4NN5_DB08944_uff_E=166.87,-5.3,4.258,1.911
4NN5_DB08944_uff_E=166.87,-5.3,2.522,1.812
4NN5_DB08946_uff_E=91.15,-5.3,0,0
4NN5_DB08948_uff_E=309.98,-5.3,6.337,2.801
4NN5_DB08953_uff_E=365.99,-5.3,9.911,8.467
4NN5_DB08955_uff_E=87.04,-5.3,10.191,8.737
4NN5_DB08957_uff_E=185.57,-5.3,4.836,2.34
4NN5_DB08957_uff_E=185.57,-5.3,5.025,2.315
4NN5_DB08957_uff_E=185.57,-5.3,4.527,2.456
4NN5_DB08957_uff_E=185.57,-5.3,5.227,1.315
4NN5_DB08964_uff_E=210.19,-5.3,4.447,2.623
4NN5_DB08964_uff_E=210.19,-5.3,5.068,2.515
4NN5_DB08964_uff_E=210.19,-5.3,6.384,1.943
4NN5_DB08964_uff_E=210.19,-5.3,2.995,1.496
4NN5_DB08988_uff_E=194.02,-5.3,9.676,7.831
4NN5_DB08990_uff_E=251.34,-5.3,7.217,3.518
4NN5_DB08990_uff_E=251.34,-5.3,6.446,4.771
4NN5_DB08990_uff_E=251.34,-5.3,4.584,1.925
4NN5_DB09007_uff_E=209.05,-5.3,9.485,7.774
4NN5_DB09012_uff_E=220.66,-5.3,5.684,2.087
4NN5_DB09012_uff_E=220.66,-5.3,7.165,5.322
4NN5_DB09012_uff_E=222.64,-5.3,12.766,10.799
4NN5_DB09022_uff_E=158.95,-5.3,4.814,3.211
4NN5_DB09022_uff_E=179.07,-5.3,4.845,3.02
4NN5_DB09092_uff_E=380.23,-5.3,6.258,2.433
4NN5_DB09225_uff_E=294.53,-5.3,5.022,3.35
4NN5_DB09247_uff_E=86.39,-5.3,0,0
4NN5_DB09247_uff_E=86.39,-5.3,10.922,9.794
4NN5_DB09250_uff_E=60.17,-5.3,0,0
4NN5_DB09251_uff_E=72.24,-5.3,0,0
4NN5_DB09252_uff_E=72.21,-5.3,2.792,1.86
4NN5_DB09253_uff_E=238.01,-5.3,8.75,7.791
4NN5_DB09253_uff_E=238.01,-5.3,11.322,10.415
4NN5_DB09253_uff_E=238.01,-5.3,10.649,9.738
4NN5_DB09253_uff_E=238.01,-5.3,11.48,10.086
4NN5_DB09253_uff_E=238.01,-5.3,9.184,8.256
4NN5_DB09254_uff_E=101.26,-5.3,2.227,1.608
4NN5_DB09254_uff_E=101.26,-5.3,5.453,2.511
4NN5_DB09333_uff_E=132.01,-5.3,2.909,2.283
4NN5_DB00150_uff_E=295.04,-5.2,5.265,3.476
4NN5_DB00150_uff_E=295.04,-5.2,2.018,1.774
4NN5_DB00150_uff_E=295.04,-5.2,2.436,1.796
4NN5_DB00150_uff_E=295.04,-5.2,2.512,2.113
4NN5_DB00311_uff_E=710.54,-5.2,7.057,5.105
4NN5_DB00382_uff_E=137.40,-5.2,4.211,1.995
4NN5_DB00382_uff_E=137.40,-5.2,2.557,2.163
4NN5_DB00409_uff_E=317.36,-5.2,4.672,2.833
4NN5_DB00409_uff_E=317.36,-5.2,5.189,3.081
4NN5_DB00409_uff_E=317.36,-5.2,4.603,3.279
4NN5_DB00409_uff_E=317.36,-5.2,5.26,3.198
4NN5_DB00473_uff_E=134.42,-5.2,3.678,1.553
4NN5_DB00505_uff_E=255.94,-5.2,4.194,1.775
4NN5_DB00532_uff_E=252.36,-5.2,9.799,7.921
4NN5_DB00532_uff_E=252.36,-5.2,9.332,7.616
4NN5_DB00574_uff_E=83.65,-5.2,0,0
4NN5_DB00647_uff_E=221.23,-5.2,0,0
4NN5_DB00744_uff_E=319.84,-5.2,4.62,3.368
4NN5_DB00767_uff_E=230.92,-5.2,4.661,2.795
4NN5_DB00848_uff_E=254.73,-5.2,2.445,1.693
4NN5_DB00848_uff_E=254.73,-5.2,11.268,10.351
4NN5_DB00856_uff_E=68.04,-5.2,0,0
4NN5_DB00856_uff_E=69.42,-5.2,0,0
4NN5_DB00856_uff_E=69.42,-5.2,2.087,1.165
4NN5_DB00870_uff_E=319.55,-5.2,5.295,4.168
4NN5_DB00870_uff_E=319.55,-5.2,9.167,7.428
4NN5_DB00926_uff_E=268.29,-5.2,4.949,1.817
4NN5_DB00926_uff_E=268.29,-5.2,4.97,1.847
4NN5_DB00926_uff_E=268.29,-5.2,6.453,3.25
4NN5_DB01079_uff_E=317.22,-5.2,4.26,2.991
4NN5_DB01105_uff_E=431.99,-5.2,0,0
4NN5_DB01105_uff_E=471.07,-5.2,4.4,2.816
4NN5_DB01178_uff_E=523.03,-5.2,2.831,2.08
4NN5_DB01178_uff_E=523.08,-5.2,5.83,3.566
4NN5_DB01178_uff_E=523.08,-5.2,3.049,2.416
4NN5_DB01230_uff_E=207.95,-5.2,2.41,1.304
4NN5_DB01230_uff_E=209.29,-5.2,11.645,10.64
4NN5_DB01244_uff_E=225.83,-5.2,2.061,1.444
4NN5_DB01424_uff_E=378.50,-5.2,11.167,9.635
4NN5_DB01463_uff_E=1705.79,-5.2,9.692,7.639
4NN5_DB01546_uff_E=282.74,-5.2,0,0
4NN5_DB04813_uff_E=143.25,-5.2,3.408,2.82
4NN5_DB04813_uff_E=143.25,-5.2,7.607,4.549
4NN5_DB04814_uff_E=254.66,-5.2,4.845,3.901
4NN5_DB04814_uff_E=254.66,-5.2,7.228,4.368
4NN5_DB04814_uff_E=254.66,-5.2,4.06,3.317
4NN5_DB04814_uff_E=254.66,-5.2,3.034,1.948
4NN5_DB04815_uff_E=96.47,-5.2,11.294,10.91
4NN5_DB04820_uff_E=148.92,-5.2,2.368,1.759
4NN5_DB04822_uff_E=191.26,-5.2,7.274,4.425
4NN5_DB04822_uff_E=191.26,-5.2,2.551,1.668
4NN5_DB04822_uff_E=191.26,-5.2,7.636,5.659
4NN5_DB04822_uff_E=191.26,-5.2,8.483,3.003
4NN5_DB04825_uff_E=182.59,-5.2,5.255,2.024
4NN5_DB04825_uff_E=182.59,-5.2,2.598,1.859
4NN5_DB04825_uff_E=182.59,-5.2,3.657,2.245
4NN5_DB04826_uff_E=503.33,-5.2,4.561,2.624
4NN5_DB04826_uff_E=503.33,-5.2,2.633,1.801
4NN5_DB04826_uff_E=503.33,-5.2,2.312,1.721
4NN5_DB04832_uff_E=187.44,-5.2,10.671,7.802
4NN5_DB04837_uff_E=177.69,-5.2,5.083,2.134
4NN5_DB04837_uff_E=177.69,-5.2,9.721,7.719
4NN5_DB04837_uff_E=177.69,-5.2,2.459,1.981
4NN5_DB06793_uff_E=287.52,-5.2,4.829,2.617
4NN5_DB07931_uff_E=137.35,-5.2,6.16,2.29
4NN5_DB07931_uff_E=137.35,-5.2,4.214,2.422
4NN5_DB08941_uff_E=150.13,-5.2,5.835,1.995
4NN5_DB08941_uff_E=155.59,-5.2,4.573,1.971
4NN5_DB08941_uff_E=159.68,-5.2,4.006,2.086
4NN5_DB08941_uff_E=176.44,-5.2,4.938,2.111
4NN5_DB08944_uff_E=198.96,-5.2,0,0
4NN5_DB08944_uff_E=210.38,-5.2,4.58,2.176
4NN5_DB08948_uff_E=309.98,-5.2,6.08,3.237
4NN5_DB08948_uff_E=309.98,-5.2,4.882,2.752
4NN5_DB08953_uff_E=365.99,-5.2,3.766,2.716
4NN5_DB08953_uff_E=365.99,-5.2,10.082,7.35
4NN5_DB08955_uff_E=78.87,-5.2,4.371,3.122
4NN5_DB08955_uff_E=78.87,-5.2,10.668,9.861
4NN5_DB08957_uff_E=185.57,-5.2,5.457,2.528
4NN5_DB08957_uff_E=185.57,-5.2,6.264,2.654
4NN5_DB08964_uff_E=210.19,-5.2,2.05,1.23
4NN5_DB08990_uff_E=286.26,-5.2,5.624,2.135
4NN5_DB08990_uff_E=286.26,-5.2,5.639,2.555
4NN5_DB08990_uff_E=286.26,-5.2,4.892,1.84
4NN5_DB09007_uff_E=209.05,-5.2,10.908,8.627
4NN5_DB09007_uff_E=209.05,-5.2,10.448,7.332
4NN5_DB09010_uff_E=109.21,-5.2,2.845,1.912
4NN5_DB09010_uff_E=109.21,-5.2,7.956,6.08
4NN5_DB09010_uff_E=109.21,-5.2,4.94,2.974
4NN5_DB09022_uff_E=158.95,-5.2,4.837,3.136
4NN5_DB09022_uff_E=158.95,-5.2,5.518,3.877
4NN5_DB09022_uff_E=158.95,-5.2,4.507,2.281
4NN5_DB09022_uff_E=179.07,-5.2,4.222,2.291
4NN5_DB09022_uff_E=179.07,-5.2,4.373,2.545
4NN5_DB09022_uff_E=179.07,-5.2,4.556,3.113
4NN5_DB09022_uff_E=179.07,-5.2,2.386,1.63
4NN5_DB09092_uff_E=377.01,-5.2,2.366,1.829
4NN5_DB09092_uff_E=377.01,-5.2,3.461,2.238
4NN5_DB09092_uff_E=380.23,-5.2,5.876,3.301
4NN5_DB09092_uff_E=380.23,-5.2,5.769,3.92
4NN5_DB09185_uff_E=144.57,-5.2,0,0
4NN5_DB09225_uff_E=294.53,-5.2,8.444,6.326
4NN5_DB09225_uff_E=294.53,-5.2,7.361,5.023
4NN5_DB09247_uff_E=86.39,-5.2,4.522,3.042
4NN5_DB09247_uff_E=86.39,-5.2,3.709,2.802
4NN5_DB09251_uff_E=66.94,-5.2,0,0
4NN5_DB09252_uff_E=72.21,-5.2,2.129,1.501
4NN5_DB13167_uff_E=85.13,-5.2,0,0
4NN5_DB00150_uff_E=295.04,-5.1,4.925,3.134
4NN5_DB00150_uff_E=295.04,-5.1,5.546,4.188
4NN5_DB00311_uff_E=710.54,-5.1,5.983,5.193
4NN5_DB00382_uff_E=137.40,-5.1,2.485,0.851
4NN5_DB00382_uff_E=137.40,-5.1,9.603,8.224
4NN5_DB00473_uff_E=134.42,-5.1,5.267,3.264
4NN5_DB00473_uff_E=134.42,-5.1,2.195,1.376
4NN5_DB00473_uff_E=134.42,-5.1,4.974,2.978
4NN5_DB00473_uff_E=134.42,-5.1,4.695,1.998
4NN5_DB00473_uff_E=185.36,-5.1,4.735,2.562
4NN5_DB00473_uff_E=185.36,-5.1,3.354,1.514
4NN5_DB00473_uff_E=185.36,-5.1,4.424,2.514
4NN5_DB00473_uff_E=185.36,-5.1,2.849,1.751
4NN5_DB00505_uff_E=255.94,-5.1,4.764,1.749
4NN5_DB00505_uff_E=255.94,-5.1,4.095,1.773
4NN5_DB00505_uff_E=255.94,-5.1,4.085,1.782
4NN5_DB00505_uff_E=255.94,-5.1,4.812,1.722
4NN5_DB00532_uff_E=252.36,-5.1,9.294,7.528
4NN5_DB00574_uff_E=83.65,-5.1,1.56,0.887
4NN5_DB00647_uff_E=221.23,-5.1,4.513,2.076
4NN5_DB00647_uff_E=221.23,-5.1,5.413,2.248
4NN5_DB00647_uff_E=221.23,-5.1,5.014,2.045
4NN5_DB00647_uff_E=221.23,-5.1,5.671,2.445
4NN5_DB00744_uff_E=319.84,-5.1,5.088,4.091
4NN5_DB00744_uff_E=319.84,-5.1,6.164,4.749
4NN5_DB00870_uff_E=314.17,-5.1,6.127,5.044
4NN5_DB00870_uff_E=314.17,-5.1,5.172,4.333
4NN5_DB00870_uff_E=314.17,-5.1,8.373,6.837
4NN5_DB00926_uff_E=268.29,-5.1,4.984,1.837
4NN5_DB01079_uff_E=317.22,-5.1,4.484,2.965
4NN5_DB01079_uff_E=317.22,-5.1,5.368,3.241
4NN5_DB01079_uff_E=317.22,-5.1,5.775,3.968
4NN5_DB01079_uff_E=317.22,-5.1,5.123,2.901
4NN5_DB01178_uff_E=523.08,-5.1,3.957,2.494
4NN5_DB01178_uff_E=523.08,-5.1,3.164,2.374
4NN5_DB01191_uff_E=85.22,-5.1,0,0
4NN5_DB01230_uff_E=207.95,-5.1,3.666,2.688
4NN5_DB01230_uff_E=209.29,-5.1,9.71,8.765
4NN5_DB01230_uff_E=209.29,-5.1,11.721,10.51
4NN5_DB01244_uff_E=225.83,-5.1,4.162,1.48
4NN5_DB01244_uff_E=225.83,-5.1,5.894,1.906
4NN5_DB01244_uff_E=225.83,-5.1,5.552,1.745
4NN5_DB01244_uff_E=225.83,-5.1,5.008,1.936
4NN5_DB01424_uff_E=378.50,-5.1,10.247,9.46
4NN5_DB01424_uff_E=378.50,-5.1,5.865,4.297
4NN5_DB01424_uff_E=378.50,-5.1,10.997,9.348
4NN5_DB01424_uff_E=378.50,-5.1,9.729,7.709
4NN5_DB01463_uff_E=1705.79,-5.1,10.782,8.617
4NN5_DB01463_uff_E=1705.79,-5.1,4.783,1.295
4NN5_DB01463_uff_E=1705.79,-5.1,11.448,8.013
4NN5_DB01463_uff_E=240.03,-5.1,0,0
4NN5_DB01546_uff_E=282.74,-5.1,2.384,1.512
4NN5_DB01546_uff_E=282.74,-5.1,4.152,2.008
4NN5_DB04818_uff_E=87.06,-5.1,0,0
4NN5_DB04820_uff_E=148.92,-5.1,3.839,2.451
4NN5_DB04822_uff_E=191.26,-5.1,7.389,5.098
4NN5_DB04822_uff_E=191.26,-5.1,9.277,6.259
4NN5_DB04826_uff_E=503.33,-5.1,3.828,1.517
4NN5_DB04826_uff_E=503.33,-5.1,3.657,2.092
4NN5_DB04832_uff_E=187.44,-5.1,7.094,3.972
4NN5_DB04837_uff_E=177.69,-5.1,6.536,3.434
4NN5_DB04837_uff_E=177.69,-5.1,5.502,2.331
4NN5_DB04837_uff_E=177.73,-5.1,10.411,7.885
4NN5_DB04837_uff_E=177.73,-5.1,9.89,7.195
4NN5_DB04837_uff_E=177.73,-5.1,9.815,7.334
4NN5_DB04837_uff_E=177.73,-5.1,8.86,6.675
4NN5_DB06793_uff_E=287.52,-5.1,5.082,2.314
4NN5_DB06793_uff_E=287.52,-5.1,4.167,2.102
4NN5_DB06793_uff_E=287.52,-5.1,1.759,1.258
4NN5_DB06793_uff_E=287.52,-5.1,5.158,2.189
4NN5_DB08941_uff_E=150.13,-5.1,4.222,1.946
4NN5_DB08941_uff_E=155.59,-5.1,4.841,2.218
4NN5_DB08941_uff_E=155.59,-5.1,5.421,1.916
4NN5_DB08941_uff_E=159.68,-5.1,4.726,2.286
4NN5_DB08944_uff_E=166.87,-5.1,8.272,6.22
4NN5_DB08944_uff_E=198.96,-5.1,8.53,6.476
4NN5_DB08944_uff_E=198.96,-5.1,2.091,1.4
4NN5_DB08944_uff_E=210.38,-5.1,10.093,7.799
4NN5_DB08948_uff_E=309.98,-5.1,9.713,7.839
4NN5_DB08948_uff_E=309.98,-5.1,6.124,3.287
4NN5_DB08952_uff_E=216.08,-5.1,0,0
4NN5_DB08952_uff_E=216.08,-5.1,3.475,1.759
4NN5_DB08952_uff_E=216.08,-5.1,3.519,2.05
4NN5_DB08952_uff_E=216.08,-5.1,2.199,1.791
4NN5_DB08953_uff_E=365.99,-5.1,9.638,8.107
4NN5_DB08953_uff_E=365.99,-5.1,9.148,6.981
4NN5_DB08953_uff_E=365.99,-5.1,2.444,1.903
4NN5_DB08955_uff_E=78.87,-5.1,7.484,5.723
4NN5_DB08955_uff_E=87.04,-5.1,9.416,8
4NN5_DB08955_uff_E=87.04,-5.1,8.533,7.144
4NN5_DB08955_uff_E=87.04,-5.1,6.131,3.495
4NN5_DB08988_uff_E=194.02,-5.1,9.062,6.257
4NN5_DB08988_uff_E=194.02,-5.1,10.639,7.646
4NN5_DB09010_uff_E=109.21,-5.1,6.198,3.765
4NN5_DB09010_uff_E=109.21,-5.1,6.114,2.987
4NN5_DB09010_uff_E=109.21,-5.1,4.158,2.678
4NN5_DB09010_uff_E=109.21,-5.1,6.627,4.632
4NN5_DB09010_uff_E=109.21,-5.1,2.83,2.42
4NN5_DB09022_uff_E=158.95,-5.1,3.624,2.405
4NN5_DB09022_uff_E=179.07,-5.1,2.934,1.937
4NN5_DB09022_uff_E=179.07,-5.1,4.58,3.004
4NN5_DB09088_uff_E=128.87,-5.1,0,0
4NN5_DB09092_uff_E=377.01,-5.1,2.272,1.652
4NN5_DB09092_uff_E=377.01,-5.1,3.915,2.849
4NN5_DB09092_uff_E=380.23,-5.1,4.14,2.631
4NN5_DB09185_uff_E=144.57,-5.1,5.595,3.598
4NN5_DB09185_uff_E=144.57,-5.1,12.071,10.559
4NN5_DB09225_uff_E=294.53,-5.1,6.142,3.341
4NN5_DB09252_uff_E=72.21,-5.1,6.01,3.966
4NN5_DB09253_uff_E=224.06,-5.1,11.851,10.529
4NN5_DB09254_uff_E=101.26,-5.1,4.678,2.599
4NN5_DB09254_uff_E=101.26,-5.1,5.282,4.224
4NN5_DB09333_uff_E=132.01,-5.1,2,1.838
4NN5_DB09347_uff_E=317.00,-5.1,0,0
4NN5_DB09347_uff_E=317.00,-5.1,4.768,2.813
4NN5_DB13167_uff_E=85.13,-5.1,2.148,1.494
4NN5_DB13421_uff_E=380.82,-5.1,6.553,2.615
4NN5_DB13421_uff_E=380.82,-5.1,7.042,5.111
4NN5_DB13421_uff_E=380.82,-5.1,4.746,3.664
4NN5_DB00311_uff_E=710.54,-5,6.575,4.793
4NN5_DB00473_uff_E=134.42,-5,5.947,3.006
4NN5_DB00574_uff_E=83.65,-5,11.156,9.459
4NN5_DB00574_uff_E=88.34,-5,0,0
4NN5_DB00574_uff_E=88.34,-5,9.702,7.774
4NN5_DB00647_uff_E=221.23,-5,4.78,1.974
4NN5_DB00744_uff_E=356.30,-5,6.095,3.298
4NN5_DB00866_uff_E=100.71,-5,0,0
4NN5_DB00866_uff_E=106.93,-5,0,0
4NN5_DB01105_uff_E=431.99,-5,10.122,7.333
4NN5_DB01178_uff_E=523.03,-5,4.196,2.952
4NN5_DB01191_uff_E=85.22,-5,10.179,8.332
4NN5_DB01191_uff_E=85.22,-5,10.343,8.267
4NN5_DB01230_uff_E=207.95,-5,10.697,9.193
